적재_연월,자전거번호,자전거_도입_연도,자전거_유형,자전거_상태
202511,001_0110_00148,2018-06-26 11:30,어울링,관리자재배치
202511,001_0110_00149,2018-06-26 11:30,어울링,정상대기
202511,001_0110_01653,2019-11-28 15:21,어울링,정상대기
202511,001_0110_01654,2019-11-28 15:21,어울링,정상대기
202511,001_0110_01655,2019-11-28 15:21,어울링,정상대기
202511,001_0110_01656,2019-11-28 15:21,어울링,대여중
202511,001_0110_01657,2019-11-28 15:21,어울링,정상대기
202511,001_0110_00665,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00666,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00667,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00668,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00669,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00670,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00671,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00672,2018-06-26 11:30,어울링,입고
202511,001_0110_00673,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00674,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00675,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00676,2018-06-26 11:30,어울링,관리자재배치
202511,001_0110_00677,2018-06-26 11:30,어울링,입고
202511,001_0110_00678,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00679,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00680,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00681,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00682,2018-06-26 11:30,어울링,입고
202511,001_0110_00683,2018-06-26 11:30,어울링,관리자재배치
202511,001_0110_00684,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00685,2018-06-26 11:30,어울링,입고
202511,001_0110_00686,2018-06-26 11:30,어울링,관리자재배치
202511,001_0110_00687,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00976,2019-03-19 15:33,어울링,정상대기
202511,001_0110_00977,2019-03-19 15:33,어울링,정상대기
202511,001_0110_00978,2019-03-19 15:33,어울링,정상대기
202511,001_0110_00979,2019-03-19 15:33,어울링,정상대기
202511,001_0110_00980,2019-03-19 15:33,어울링,정상대기
202511,001_0110_00981,2019-03-19 15:33,어울링,정상대기
202511,001_0110_00982,2019-03-19 15:33,어울링,입고
202511,001_0110_00983,2019-03-19 15:33,어울링,정상대기
202511,001_0110_00984,2019-03-19 15:33,어울링,정상대기
202511,001_0110_00985,2019-03-19 15:33,어울링,정상대기
202511,001_0110_00986,2019-03-19 15:33,어울링,정상대기
202511,001_0110_01068,2019-03-19 15:33,어울링,정상대기
202511,001_0110_01069,2019-03-19 15:33,어울링,정상대기
202511,001_0110_01070,2019-03-19 15:33,어울링,정상대기
202511,001_0110_01071,2019-03-19 15:33,어울링,정상대기
202511,001_0110_01072,2019-03-19 15:33,어울링,정상대기
202511,001_0110_01073,2019-03-19 15:33,어울링,정상대기
202511,001_0110_01074,2019-03-19 15:33,어울링,정상대기
202511,001_0110_01075,2019-03-19 15:33,어울링,입고
202511,001_0110_01076,2019-03-19 15:33,어울링,정상대기
202511,001_0110_01077,2019-03-19 15:33,어울링,정상대기
202511,001_0110_01078,2019-03-19 15:33,어울링,정상대기
202511,001_0110_00007,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00001,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00002,2018-06-26 11:30,어울링,관리자재배치
202511,001_0110_00003,2018-06-26 11:30,어울링,입고
202511,001_0110_00004,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00005,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00006,2018-06-26 11:30,어울링,정상대기
202511,001_0110_00171,2018-06-26 11:30,어울링,입고
202511,001_0110_00172,2018-06-26 11:30,어울링,정상대기
